Season,Name,Team,O-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),EV,LA,wRC+,NameASCII,PlayerId,MLBAMID
2024,Aaron Judge,NYY,0.17651099,0.42019431,0.37743191,0.80293501,96.22869135604113,18.887951377731362,218.4323797981748,Aaron Judge,15640,592450
2022,Aaron Judge,NYY,0.23156533,0.42685026,0.44972067,0.83219955,95.77863604323308,14.893024798323935,206.15483678377262,Aaron Judge,15640,592450
2022,Yordan Alvarez,HOU,0.25595238,0.42642369,0.55813953,0.8976378,95.21854940878379,12.251697797338275,185.3695676784142,Yordan Alvarez,19556,670541
2024,Shohei Ohtani,LAD,0.2602546,0.47322058,0.51358696,0.81948718,95.80362513075313,16.212695516801777,181.14474125289487,Shohei Ohtani,19755,660271
2024,Kyle Tucker,HOU,0.16766467,0.41753343,0.5625,0.88888889,91.05638020833334,21.208921440972222,179.99180646557886,Kyle Tucker,18345,663656
2024,Juan Soto,NYY,0.18449712,0.3692932,0.62152778,0.86069652,94.18303571428571,10.680436555631868,179.63696849983626,Juan Soto,20123,665742
2023,Shohei Ohtani,LAA,0.29951299,0.48198003,0.50406504,0.81241565,94.39937017205057,13.187424563290028,179.4532030886358,Shohei Ohtani,19755,660271
2022,Mike Trout,LAA,0.23120837,0.43420428,0.57613169,0.78390462,91.58848307291667,24.628572591145833,175.87476170926516,Mike Trout,10155,545361
2022,Paul Goldschmidt,STL,0.23591285,0.41725287,0.61783439,0.81549815,90.71934101654847,15.733702026078605,175.43467587848605,Paul Goldschmidt,9218,502671
2023,Aaron Judge,NYY,0.17997978,0.41294056,0.30898876,0.7693575,97.64986761,20.38250809035042,172.1149568835673,Aaron Judge,15640,592450
2023,Ronald Acuña Jr.,ATL,0.22723962,0.46225737,0.67628205,0.8788501,94.71007254464286,7.411897873495989,170.9875350331074,Ronald Acuna Jr.,18401,660670
2023,Corey Seager,TEX,0.29934924,0.55146262,0.44565217,0.89083558,93.27183544303797,13.046287826344937,170.91323881977186,Corey Seager,13624,608369
2021,Byron Buxton,MIN,0.30669546,0.52972973,0.50704225,0.80747126,92.46493459302326,13.260347588117732,170.70003080421128,Byron Buxton,14161,621439
